time,price
0,33688.35
1,34654.58
2,31594.63
3,32275.19
4,34709.23
5,34493.22
6,35904.28
7,35060.0
8,33516.11
9,33805.02
10,34682.16
11,35284.05
12,33697.78
13,34225.73
14,33878.56
15,32875.95
16,33824.26
17,33515.35
18,34259.23
19,33091.1
20,32734.14
21,32816.39
22,31868.68
23,31388.06
24,31533.91
25,31788.25
26,30842.03
27,29796.16
28,32135.19
29,32287.74
30,33647.26
31,34283.01
32,35428.26
33,37262.77
34,39470.48
35,40035.1
36,40039.44
37,42237.95
38,41495.01
39,39865.41
40,39149.59
41,38191.44
42,39722.41
43,40888.74
44,42869.58
45,44637.34
46,43829.14
47,46285.48
48,45595.66
49,45553.49
50,44422.14
51,47833.64
52,47109.65
53,47014.49
54,45902.46
55,44671.58
56,44707.98
57,46765.87
58,49342.4
59,48867.02
60,49284.63
61,49506.5
62,47682.45
63,48987.33
64,46851.47
65,49077.57
66,48942.94
67,48802.58
68,46993.71
69,47112.5
70,48839.86
71,49279.37
72,50025.0
73,49942.98
74,51789.17
75,52698.81
76,46894.5
77,46060.36
78,46400.0
79,44851.45
80,45171.83
81,46024.23
82,44947.72
83,47127.22
84,48148.12
85,47753.16
86,47303.5
87,48314.56
88,47255.92
89,43012.97
90,40719.6
91,43575.1
92,44897.59
93,42848.92
94,42705.51
95,43178.02
96,42171.76
97,41026.07
98,41522.16
99,43824.43
100,48165.76
101,47657.69
102,48233.99
103,49245.54
104,51493.99
105,55339.48
106,53797.82
107,53963.82
108,54962.29
109,54690.53
110,57487.44
111,56005.1
112,57367.32
113,57359.51
114,61695.39
115,60877.42
116,61527.11
117,62042.41
118,64303.14
119,66026.54
120,62204.02
121,60687.64
122,61300.01
123,60854.48
124,63083.54
125,60337.62
126,58455.47
127,60591.65
128,62276.72
129,61892.41
130,61343.68
131,60949.54
132,63266.51
133,62935.41
134,61444.5
135,61006.15
136,61539.31
137,63309.13
138,67554.84
139,66944.66
140,64912.2
141,64807.59
142,64147.9
143,64400.01
144,65505.02
145,63624.59
146,60107.98
147,60351.51
148,56898.0
149,58122.16
150,59760.76
151,58671.21
152,56280.81
153,57566.85
154,57162.66
155,58987.27
156,53757.67
157,54759.05
158,57317.17
159,57838.06
160,56987.97
161,57226.5
162,56521.46
163,53638.04
164,49241.12
165,49484.22
166,50529.56
167,50625.48
168,50519.68
169,47568.43
170,47170.94
171,49407.75
172,50089.64
173,46727.89
174,48367.43
175,48884.78
176,47634.22
177,46166.5
178,46859.46
179,46687.19
180,46926.07
181,48914.7
182,48608.62
183,50842.2
184,50851.38
185,50428.31
186,50801.79
187,50717.77
188,47543.09
189,46471.24
190,47122.08
191,46211.24
192,47733.43
193,47299.07
194,46459.56
195,45814.61
196,43436.04
197,43083.76
198,41565.18
199,41684.84
200,41876.52
201,41824.07
202,42753.44
203,43920.37
204,42581.65
205,43090.72
206,43098.2
207,43104.34
208,42218.01
209,42369.74
210,41674.27
211,40670.97
212,36456.94
213,35066.43
214,36282.47
215,36693.32
216,36980.0
217,36840.63
218,37188.37
219,37741.9
220,38191.1
221,37901.35
222,38491.93
223,38716.88
224,36923.39
225,37329.91
226,41614.64
227,41404.85
228,42415.16
229,43868.07
230,44085.59
231,44416.35
232,43527.71
233,42386.47
234,42244.97
235,42074.99
236,42548.71
237,44583.52
238,43895.56
239,40536.73
240,39983.56
241,40101.94
242,38389.03
243,37023.0
244,38251.48
245,37268.19
246,38347.3
247,39238.48
248,39137.8
249,37717.08
250,43192.66
251,44439.95
252,43912.34
253,42464.41
254,39166.51
255,39402.43
256,38408.38
257,37994.0
258,38749.38
259,41953.97
260,39433.71
261,38732.04
262,38813.02
263,37793.01
264,39674.17
265,39298.1
266,41127.97
267,40950.33
268,41774.98
269,42232.26
270,41287.24
271,41017.71
272,42378.26
273,42899.71
274,44012.29
275,44331.85
276,44539.42
277,46850.01
278,47144.92
