time,price
0,114.08000183105469
1,115.80000305175781
2,117.12000274658203
3,116.43000030517578
4,115.94000244140625
5,117.26000213623047
6,118.55999755859375
7,118.16000366210938
8,117.97000122070312
9,120.94000244140625
10,122.5199966430664
11,124.19999694824219
12,124.2300033569336
13,125.2300033569336
14,124.2300033569336
15,122.98999786376953
16,124.4000015258789
17,123.41999816894531
18,120.76000213623047
19,123.44999694824219
20,122.41999816894531
21,121.05000305175781
22,121.58000183105469
23,121.79000091552734
24,118.63999938964844
25,119.16999816894531
26,118.47000122070312
27,117.06999969482422
28,117.33999633789062
29,117.9800033569336
30,116.01000213623047
31,116.33999633789062
32,115.94000244140625
33,115.27999877929688
34,115.43000030517578
35,115.26000213623047
36,115.69999694824219
37,116.06999969482422
38,116.16000366210938
39,115.68000030517578
40,115.47000122070312
41,115.11000061035156
42,115.0
43,111.86000061035156
44,111.97000122070312
45,111.41999816894531
46,110.75
47,110.72000122070312
48,110.87999725341797
49,110.80999755859375
50,110.20999908447266
51,112.37000274658203
52,112.29000091552734
53,113.56999969482422
54,114.29000091552734
55,114.56999969482422
56,114.7300033569336
57,115.4800033569336
58,115.05999755859375
59,113.75
60,113.66000366210938
61,115.5999984741211
62,115.27999877929688
63,116.69000244140625
64,116.11000061035156
65,115.47000122070312
66,114.66999816894531
67,115.97000122070312
68,115.13999938964844
69,114.44000244140625
70,115.43000030517578
71,115.02999877929688
72,115.5999984741211
73,114.72000122070312
74,115.37999725341797
75,113.83000183105469
76,114.66000366210938
77,113.05000305175781
78,115.33000183105469
79,116.33000183105469
80,115.51000213623047
81,113.47000122070312
82,113.08000183105469
83,114.0999984741211
84,114.41999816894531
85,114.36000061035156
86,113.41999816894531
87,113.97000122070312
88,113.52999877929688
89,114.5
90,116.55000305175781
91,117.18000030517578
92,117.52999877929688
93,117.5199966430664
94,115.88999938964844
95,116.08000183105469
96,115.69000244140625
97,115.5999984741211
98,113.91000366210938
99,113.88999938964844
100,114.0199966430664
101,114.0999984741211
102,114.0
103,114.45999908447266
104,113.63999938964844
105,112.83999633789062
106,112.23999786376953
107,112.56999969482422
108,112.81999969482422
109,113.77999877929688
110,113.26000213623047
111,113.2300033569336
112,113.7300033569336
113,113.31999969482422
114,113.8499984741211
115,115.31999969482422
116,115.12000274658203
117,113.63999938964844
118,112.88999938964844
119,112.58999633789062
120,112.44000244140625
121,112.55999755859375
122,113.06999969482422
123,112.37000274658203
124,111.9800033569336
125,111.76000213623047
126,112.05999755859375
127,110.76000213623047
128,111.08999633789062
129,111.36000061035156
130,111.48999786376953
131,110.98999786376953
132,110.73999786376953
133,110.16000366210938
134,109.76000213623047
135,108.6500015258789
136,105.69999694824219
137,105.37000274658203
138,104.80000305175781
