time,price
0,170.1250457763672
1,167.05258178710938
2,165.47914123535156
3,167.54124450683594
4,170.51426696777344
5,169.14779663085938
6,167.82272338867188
7,167.35072326660156
8,166.3403778076172
9,164.8166046142578
10,166.97802734375
11,167.33419799804688
12,168.1788330078125
13,170.67987060546875
14,169.7440948486328
15,170.1415557861328
16,167.8973388671875
17,165.74417114257812
18,167.27615356445312
19,165.17271423339844
20,167.21823120117188
21,169.63641357421875
22,168.99041748046875
23,170.69635009765625
24,170.22442626953125
25,169.4625244140625
26,171.26785278320312
27,171.36720275878906
28,173.0152587890625
29,173.72743225097656
30,174.00071716308594
31,174.01724243164062
32,173.89309692382812
33,174.9365692138672
34,174.91165161132812
35,175.40850830078125
36,175.2594757080078
37,175.05239868164062
38,174.4561767578125
39,175.55763244628906
40,174.8371124267578
41,174.1000518798828
42,174.29052734375
43,171.83926391601562
44,172.55142211914062
45,169.7523193359375
46,169.35482788085938
47,171.5080108642578
48,170.45623779296875
49,172.733642578125
50,172.22021484375
51,174.29052734375
52,173.4955291748047
53,175.02699279785156
54,174.6859130859375
55,173.704345703125
56,171.15890502929688
57,170.7512664794922
58,171.14231872558594
59,173.23019409179688
60,171.71624755859375
61,171.1089630126953
62,171.72454833984375
63,172.88079833984375
64,172.42330932617188
65,173.005615234375
66,173.77090454101562
67,174.71917724609375
68,173.9288787841797
69,174.26173400878906
70,175.04354858398438
71,174.99362182617188
72,172.98062133789062
73,174.5611114501953
74,174.3531494140625
75,175.20999145507812
76,175.65084838867188
77,176.05844116210938
78,175.3263702392578
79,175.8837890625
80,175.16006469726562
81,173.40487670898438
82,175.28482055664062
83,175.783935546875
84,173.77090454101562
85,173.05548095703125
86,173.7458953857422
87,176.033447265625
88,175.19334411621094
89,174.66928100585938
90,174.70254516601562
91,176.5242919921875
92,176.71560668945312
93,177.2646026611328
94,177.2064208984375
95,177.08160400390625
96,177.59735107421875
97,177.1731414794922
98,175.2681884765625
99,176.93185424804688
100,176.7322540283203
101,175.6342315673828
102,175.99180603027344
103,175.8172149658203
104,176.2830047607422
105,174.79400634765625
106,174.4945526123047
107,173.4215087890625
108,173.3965606689453
109,175.4761505126953
110,176.0417938232422
111,174.69422912597656
112,173.94554138183594
113,174.89385986328125
114,175.17672729492188
115,176.99838256835938
116,176.21266174316406
117,177.11549377441406
118,177.24081420898438
119,175.95358276367188
120,175.41859436035156
121,175.38516235351562
122,171.70726013183594
123,172.0666961669922
124,173.44589233398438
125,173.28709411621094
126,172.7938995361328
127,173.88059997558594
128,170.96334838867188
129,171.2725830078125
130,173.4291534423828
131,175.34332275390625
132,176.10398864746094
133,176.0455322265625
134,177.45811462402344
135,177.60861206054688
136,177.70053100585938
137,176.9984130859375
138,176.68077087402344
139,175.6860809326172
140,173.8638153076172
141,172.85240173339844
142,174.97557067871094
143,176.17919921875
144,176.2209930419922
145,175.95358276367188
146,175.360107421875
147,175.0173797607422
148,175.59414672851562
149,174.1564178466797
150,173.82203674316406
151,176.01206970214844
152,174.4239044189453
153,174.63282775878906
154,174.41555786132812
155,175.05079650878906
156,176.02882385253906
157,175.51890563964844
158,174.1313018798828
159,170.49520874023438
160,165.36293029785156
161,158.39999389648438
162,156.5359649658203
163,162.54600524902344
164,166.56658935546875
165,166.57492065429688
166,165.2292022705078
167,160.29742431640625
168,163.34010314941406
169,163.4570770263672
170,160.9828338623047
171,165.0285186767578
172,162.8218231201172
173,163.70782470703125
174,164.45176696777344
175,163.8416290283203
176,165.88951110839844
177,167.32723999023438
178,166.9510955810547
179,164.22283935546875
180,165.071533203125
181,162.9289093017578
182,162.66844177246094
183,162.08026123046875
184,162.0382843017578
